MDACode,Numeric MDA Code,MDA,Ministry
0140001001,140001001,AUDITOR GENERAL FOR THE FEDERATION,AUDITOR GENERAL FOR THE FEDERATION
0344001001,344001001,CODE OF CONDUCT BUREAU,CODE OF CONDUCT BUREAU
0158001001,158001001,CODE OF CONDUCT TRIBUNAL,CODE OF CONDUCT TRIBUNAL
0437001001,437001001,FEDERAL CAPITAL TERRITORY ADMINISTRATION,FEDERAL CAPITAL TERRITORY ADMINISTRATION
0149001001,149001001,FEDERAL CHARACTER COMMISSION,FEDERAL CHARACTER COMMISSION
0147001001,147001001,FEDERAL CIVIL SERVICE COMMISSION,FEDERAL CIVIL SERVICE COMMISSION
0215003001,215003001,AGRICULTURAL RESEARCH AND MANAGEMENT INSTITUTE (ARMTI) -ILORIN,FEDERAL MINISTRY OF AGRICULTURE
0215054001,215054001,AGRICULTURAL RESEARCH COUNCIL OF NIGERIA,FEDERAL MINISTRY OF AGRICULTURE
0215014001,215014001,COCOA RESEARCH INSTITUTE -IBADAN,FEDERAL MINISTRY OF AGRICULTURE
0215021001,215021001,FEDERAL COLLEGE OF AGRICULTURE -AKURE,FEDERAL MINISTRY OF AGRICULTURE
0215023001,215023001,FEDERAL COLLEGE OF AGRICULTURE -ISHIAGU,FEDERAL MINISTRY OF AGRICULTURE
0215022001,215022001,FEDERAL COLLEGE OF AGRICULTURE MOORE PLANTATION -IBADAN,FEDERAL MINISTRY OF AGRICULTURE
0215020001,215020001,FEDERAL COLLEGE OF ANIMAL HEALTH AND PRODUCTION TECH-IBADAN,FEDERAL MINISTRY OF AGRICULTURE
0215025001,215025001,FEDERAL COLLEGE OF ANIMAL HEALTH AND PRODUCTION TECHNOLOGY-VOM,FEDERAL MINISTRY OF AGRICULTURE
0215028001,215028001,FEDERAL COLLEGE OF FISHERIES AND MARINE TECHNOLOGY-LAGOS,FEDERAL MINISTRY OF AGRICULTURE
0215027001,215027001,FEDERAL COLLEGE OF FRESH WATER FISHERIES -BAGA,FEDERAL MINISTRY OF AGRICULTURE
0215024001,215024001,FEDERAL COLLEGE OF FRESH WATER FISHERIES TECHNOLOGY- NEW BUSSA,FEDERAL MINISTRY OF AGRICULTURE
0215034001,215034001,FEDERAL COLLEGE OF HORTICULTURE. - DADIN -KOWA . GOMBE,FEDERAL MINISTRY OF AGRICULTURE
0215033001,215033001,FEDERAL COLLEGE OF LAND RESOUCES TECHNOLOGY - KURU JOS,FEDERAL MINISTRY OF AGRICULTURE
0215032001,215032001,FEDERAL COLLEGE OF LAND RESOUCES TECHNOLOGY - OWERRI,FEDERAL MINISTRY OF AGRICULTURE
0215002001,215002001,"FEDERAL COLLEGE OF PRODUCE INSPECTION AND STORED PRODUCTS TECHNOLOGY, KANO",FEDERAL MINISTRY OF AGRICULTURE
0215026001,215026001,FEDERAL COLLEGE OF VETERNARY AND MEDICAL LABORATORY TECHNOLOGY -VOM,FEDERAL MINISTRY OF AGRICULTURE
0215029001,215029001,FEDERAL COOPERATIVE COLLEGE- IBADAN,FEDERAL MINISTRY OF AGRICULTURE
0215030001,215030001,FEDERAL COOPERATIVE COLLEGE- KADUNA,FEDERAL MINISTRY OF AGRICULTURE
0215031001,215031001,FEDERAL COOPERATIVE COLLEGE- OJI RIVER,FEDERAL MINISTRY OF AGRICULTURE
0215001001,215001001,FEDERAL MINISTRY OF AGRICULTURE - HQTRS,FEDERAL MINISTRY OF AGRICULTURE
0215015001,215015001,INSTITUTE OF AGRICULTURAL RESEARCH AND TRAINING -IBADAN,FEDERAL MINISTRY OF AGRICULTURE
0215009001,215009001,INSTITUTE OF AGRICULTURAL RESEARCH -ZARIA,FEDERAL MINISTRY OF AGRICULTURE
0215056001,215056001,LAKE CHAD RESEARCH INSTITUTE - MAIDUGURI,FEDERAL MINISTRY OF AGRICULTURE
0215018001,215018001,NATIONAL AGRIC EXTENSION RESEARCH LIASON SERVICES-ZARIA,FEDERAL MINISTRY OF AGRICULTURE
0215035001,215035001,NATIONAL AGRICULTURAL INSURANCE CORPORATION (NAIC),FEDERAL MINISTRY OF AGRICULTURE
0215051001,215051001,NATIONAL AGRICULTURE SEEDs COUNCIL,FEDERAL MINISTRY OF AGRICULTURE
0215010001,215010001,NATIONAL ANIMAL PRODUCT RESEARCH INSTITUTE -ZARIA,FEDERAL MINISTRY OF AGRICULTURE
0215004001,215004001,NATIONAL CENTRE FOR AGRICULTURAL MECHANISATION-ILORIN,FEDERAL MINISTRY OF AGRICULTURE
0215005001,215005001,NATIONAL CEREALS RESEARCH INSTITUTE-BADEGGI,FEDERAL MINISTRY OF AGRICULTURE
0215011001,215011001,NATIONAL HORTICULTURAL RESEARCH INSTITUTE -IBADAN,FEDERAL MINISTRY OF AGRICULTURE
0215017001,215017001,NATIONAL INSTITUTE FOR FRESHWATER FISHERIES-NEW BUSSA,FEDERAL MINISTRY OF AGRICULTURE
0215008001,215008001,NATIONAL INSTITUTE FOR OIL PALM RESEARCH (NIFOR )-BENIN,FEDERAL MINISTRY OF AGRICULTURE
0215007001,215007001,NATIONAL ROOT CROPS RESEARCH INSTITUTE -UMUDIKE,FEDERAL MINISTRY OF AGRICULTURE
0215006001,215006001,NATIONAL VETERNARY RESEARCH INSTITUTE-VOM,FEDERAL MINISTRY OF AGRICULTURE
0215053001,215053001,NIGERIA AGRICULTURAL QUARANTINE SERVICE,FEDERAL MINISTRY OF AGRICULTURE
0215058001,215058001,NIGERIA INSTITUTE OF OCEANGRAPHY AND MARINE RESEARCH (NIOMR) - LAGOS,FEDERAL MINISTRY OF AGRICULTURE
0215050001,215050001,"NIGERIA STORED PRRODUCTS RESEARCH INSTITUTE, ILORIN.",FEDERAL MINISTRY OF AGRICULTURE
0215036001,215036001,NIGERIAN INSTITUTE OF ANIMAL SCIENCE,FEDERAL MINISTRY OF AGRICULTURE
0215055001,215055001,OFFICE OF THE PERMANENT REPRESENTATIVE TO FAO,FEDERAL MINISTRY OF AGRICULTURE
0215016001,215016001,RUBBER RESEARCH INSTITUTE- BENIN,FEDERAL MINISTRY OF AGRICULTURE
0215019001,215019001,VETERNARY COUNCIL OF NIGERIA,FEDERAL MINISTRY OF AGRICULTURE
0156001001,156001001,FEDERAL MINISTRY OF COMMUNICATION TECHNOLOGY- HQTRS,FEDERAL MINISTRY OF COMMUNICATION TECHNOLOGY- HQTRS
0156003001,156003001,NIGERIAN COMMUNICATION SATELLITE LIMITED,FEDERAL MINISTRY OF COMMUNICATION TECHNOLOGY- HQTRS
0156006001,156006001,NIPOST,FEDERAL MINISTRY OF COMMUNICATION TECHNOLOGY- HQTRS
0116008001,116008001,"ARMED FORCES COMMAND AND STAFF COLLEGE , JAJI",FEDERAL MINISTRY OF DEFENCE
0116002001,116002001,DEFENCE HEADQUARTERS,FEDERAL MINISTRY OF DEFENCE
0116010001,116010001,DEFENCE INDUSTRIES CORPORATION OF NIGERIA (DICON),FEDERAL MINISTRY OF DEFENCE
0116012001,116012001,DEFENCE INTELLIGENT AGENCY,FEDERAL MINISTRY OF DEFENCE
0116011001,116011001,DEFENCE INTELLIGENT SCHOOL,FEDERAL MINISTRY OF DEFENCE
0116015017,116015017,DEFENCE MISSIONS,FEDERAL MINISTRY OF DEFENCE
0116018001,116018001,DEFENCE SPACE AGENCY,FEDERAL MINISTRY OF DEFENCE
0116001001,116001001,FEDERAL MINISTRY OF DEFENCE - HQTRS,FEDERAL MINISTRY OF DEFENCE
0116021001,116021001,MILITARY PENSION BOARD,FEDERAL MINISTRY OF DEFENCE
0116007001,116007001,"NATIONAL DEFENCE COLLEGE, NIGERIA",FEDERAL MINISTRY OF DEFENCE
0116009001,116009001,NIGERIA ARMED FORCES RESETTLEMENT CENTRE - LAGOS,FEDERAL MINISTRY OF DEFENCE
0116005001,116005001,NIGERIAN AIRFORCE,FEDERAL MINISTRY OF DEFENCE
0116003001,116003001,NIGERIAN ARMY,FEDERAL MINISTRY OF DEFENCE
0116006001,116006001,NIGERIAN DEFENCE ACADEMY (NDA),FEDERAL MINISTRY OF DEFENCE
0116004001,116004001,NIGERIAN NAVY,FEDERAL MINISTRY OF DEFENCE
0517021015,517021015,"ABUBAKAR TAFAWA BALEWA UNIVERSITY, BAUCHI",FEDERAL MINISTRY OF EDUCATION
0517021004,517021004,"AHMADU BELLO UNIVERSITY, ZARIA",FEDERAL MINISTRY OF EDUCATION
0517019021,517019021,"ALVAN IKOKU COLLEGE OF EDUCATION, OWERRI",FEDERAL MINISTRY OF EDUCATION
0517021027,517021027,ARABIC LANGUAGE VILLAGE BORNO,FEDERAL MINISTRY OF EDUCATION
0517021023,517021023,"BAYERO UNIVERSITY, KANO",FEDERAL MINISTRY OF EDUCATION
0517015001,517015001,COMPUTER REGISTRATION COUNCIL OF NIGERIA,FEDERAL MINISTRY OF EDUCATION
0517022001,517022001,"DIVISION OF AGRICULTURAL COLLEGE ,ABU ZARIA",FEDERAL MINISTRY OF EDUCATION
0517019001,517019001,FEDERAL COLLEGE OF EDUCATION ABEOKUTA,FEDERAL MINISTRY OF EDUCATION
0517019002,517019002,FEDERAL COLLEGE OF EDUCATION AKOKA,FEDERAL MINISTRY OF EDUCATION
0517019003,517019003,FEDERAL COLLEGE OF EDUCATION ASABA,FEDERAL MINISTRY OF EDUCATION
0517019004,517019004,FEDERAL COLLEGE OF EDUCATION BICHI,FEDERAL MINISTRY OF EDUCATION
0517019020,517019020,FEDERAL COLLEGE OF EDUCATION EHA-AMUFU,FEDERAL MINISTRY OF EDUCATION
0517019005,517019005,FEDERAL COLLEGE OF EDUCATION GOMBE,FEDERAL MINISTRY OF EDUCATION
0517019006,517019006,FEDERAL COLLEGE OF EDUCATION GUSAU,FEDERAL MINISTRY OF EDUCATION
0517019007,517019007,FEDERAL COLLEGE OF EDUCATION KANO,FEDERAL MINISTRY OF EDUCATION
0517019008,517019008,FEDERAL COLLEGE OF EDUCATION KATSINA,FEDERAL MINISTRY OF EDUCATION
0517019009,517019009,FEDERAL COLLEGE OF EDUCATION KOTANGORA,FEDERAL MINISTRY OF EDUCATION
0517019010,517019010,FEDERAL COLLEGE OF EDUCATION OBUDU,FEDERAL MINISTRY OF EDUCATION
0517019011,517019011,FEDERAL COLLEGE OF EDUCATION OKENE,FEDERAL MINISTRY OF EDUCATION
0517019012,517019012,FEDERAL COLLEGE OF EDUCATION OMUKU,FEDERAL MINISTRY OF EDUCATION
0517019013,517019013,FEDERAL COLLEGE OF EDUCATION ONDO,FEDERAL MINISTRY OF EDUCATION
0517019014,517019014,FEDERAL COLLEGE OF EDUCATION OYO,FEDERAL MINISTRY OF EDUCATION
0517019015,517019015,FEDERAL COLLEGE OF EDUCATION PANKSHIN,FEDERAL MINISTRY OF EDUCATION
0517019016,517019016,FEDERAL COLLEGE OF EDUCATION POTISKUM,FEDERAL MINISTRY OF EDUCATION
0517019017,517019017,FEDERAL COLLEGE OF EDUCATION UMUNZE,FEDERAL MINISTRY OF EDUCATION
0517019018,517019018,FEDERAL COLLEGE OF EDUCATION YOLA,FEDERAL MINISTRY OF EDUCATION
0517019019,517019019,FEDERAL COLLEGE OF EDUCATION ZARIA,FEDERAL MINISTRY OF EDUCATION
0517001001,517001001,FEDERAL MINISTRY OF EDUCATION - HQTRS,FEDERAL MINISTRY OF EDUCATION
0517018012,517018012,FEDERAL POLYTECHNIC AUCHI,FEDERAL MINISTRY OF EDUCATION
0517018020,517018020,FEDERAL POLYTECHNIC BALI,FEDERAL MINISTRY OF EDUCATION
0517018002,517018002,FEDERAL POLYTECHNIC BAUCHI,FEDERAL MINISTRY OF EDUCATION
0517018003,517018003,FEDERAL POLYTECHNIC BIDA,FEDERAL MINISTRY OF EDUCATION
0517018022,517018022,FEDERAL POLYTECHNIC BONNY,FEDERAL MINISTRY OF EDUCATION
0517018015,517018015,FEDERAL POLYTECHNIC DAMATURU,FEDERAL MINISTRY OF EDUCATION
0517018011,517018011,FEDERAL POLYTECHNIC EDE,FEDERAL MINISTRY OF EDUCATION
0517018021,517018021,FEDERAL POLYTECHNIC EKOWE,FEDERAL MINISTRY OF EDUCATION
0517018017,517018017,FEDERAL POLYTECHNIC GWANDU,FEDERAL MINISTRY OF EDUCATION
0517018016,517018016,FEDERAL POLYTECHNIC HUSSAINI ADAMU,FEDERAL MINISTRY OF EDUCATION
0517018004,517018004,FEDERAL POLYTECHNIC IDAH,FEDERAL MINISTRY OF EDUCATION
0517018018,517018018,FEDERAL POLYTECHNIC ILARO,FEDERAL MINISTRY OF EDUCATION
0517018025,517018025,FEDERAL POLYTECHNIC ILE-OLUJI,FEDERAL MINISTRY OF EDUCATION
0517018009,517018009,FEDERAL POLYTECHNIC KADUNA,FEDERAL MINISTRY OF EDUCATION
0517018005,517018005,FEDERAL POLYTECHNIC KAURA-NAMODA,FEDERAL MINISTRY OF EDUCATION
0517018006,517018006,FEDERAL POLYTECHNIC MUBI,FEDERAL MINISTRY OF EDUCATION
0517018007,517018007,FEDERAL POLYTECHNIC NASARAWA,FEDERAL MINISTRY OF EDUCATION
0517018013,517018013,FEDERAL POLYTECHNIC NEKEDE,FEDERAL MINISTRY OF EDUCATION
0517018010,517018010,FEDERAL POLYTECHNIC OFFA,FEDERAL MINISTRY OF EDUCATION
