ItemCode,Item,MDA,MDACode, Amount ,Numeric MDA Code,Ministry
SHIUF15272650,PURCHASE OF VARIOUS OFFICE EQUIPMENT,STATE HOUSE - HQTRS,0111001001," 61,949,028.00 ",111001001,STATE HOUSE
SHIUF59991861,MAINTENANCE OF INFRASTRUCTURES AND TECHNICAL FACILITIES IN DEFENCE HOUSE ANDOTHER SAFE HOUSES.,STATE HOUSE - HQTRS,0111001001," 387,980,200.00 ",111001001,STATE HOUSE
SHIUF21638679,"REPLACEMENT OF POWER RETICULATION CABLES AND SWITCH GEARS SUPPLYING POWER TOTHE MAIN HOUSE, ADC RESIDENCE, AND GENERAL PURPOSE KITCHEN",STATE HOUSE - HQTRS,0111001001," 204,485,168.00 ",111001001,STATE HOUSE
SHIUF47009556,"PROJECTS MONITORING, EVALUATION AND FOLLOW-UPS IN THE STATE HOUSE",STATE HOUSE - HQTRS,0111001001," 24,697,600.00 ",111001001,STATE HOUSE
SHIUF24951578,"PAYMENT OF OUTSTANDING BALANCE ON ACQUIRED CANTEEN/KITCHEN EQUIPMENT FORBANQUET HALL, AUDITORIUM AND THE DEFENCE HOUSE.",STATE HOUSE - HQTRS,0111001001," 100,820,300.00 ",111001001,STATE HOUSE
SHIUF24561656,PURCHASE OF RECREATIONAL MATERIALS FOR THE STATE HOUSE GYM,STATE HOUSE - HQTRS,0111001001," 12,075,000.00 ",111001001,STATE HOUSE
SHIUF94393949,RENOVATION/REHABILITATION OF BUILDINGS/INFRASTRUCTURES OF STATE HOUSE SECURITYQUARTERS COMPRISING OF 8 NOS BLOCK OF 16 UNITS 2-BEDROOM FLATS,STATE HOUSE - HQTRS,0111001001," 284,587,922.00 ",111001001,STATE HOUSE
SHIUF38433832,PURCHASE OF COMPUTERS,STATE HOUSE - HQTRS,0111001001," 14,500,000.00 ",111001001,STATE HOUSE
SHIUF63825153,PURCHASE OF 3 NO 16-SEATER HIACE BUSES (PHASED REPLACEMENT),STATE HOUSE - HQTRS,0111001001," 43,200,000.00 ",111001001,STATE HOUSE
SHIUF39266115,"REHABILITATION OF ANIMAL ENCLOSURES, PROCUREMENT OF VET LAB EQUIPMENT, FEEDINGAND MEDICATION OF WILD AND DOMESTIC ANIMALS IN THE STATE HOUSE ZOO.",STATE HOUSE - HQTRS,0111001001," 40,829,885.00 ",111001001,STATE HOUSE
SHIUF06921661,PURCHASE OF 3 NOS TOYOTA SUV'S,STATE HOUSE - HQTRS,0111001001," 100,800,000.00 ",111001001,STATE HOUSE
SHIUF66735575,BALANCE PAYMENT ON PROCUREMENT OF LICENCES FOR SECURITY APPLIANCES.,STATE HOUSE - HQTRS,0111001001," 23,625,000.00 ",111001001,STATE HOUSE
SHIUF57355875,PURCHASE OF SERVERS FOR ICT DEPARTMENT,STATE HOUSE - HQTRS,0111001001," 12,775,692.00 ",111001001,STATE HOUSE
SHIUF32108677,"PURCHASE OF TOOL BOXES, MOTORISED JACKS, DIAGNOSTIC MACHINES, TYRE CHANGINGMACHINES AND KITS PRESSURE MACHINES",STATE HOUSE - HQTRS,0111001001," 30,000,000.00 ",111001001,STATE HOUSE
SHIUF70681625,"ACCESS NETWORK DEVICES - UPGRADE OF BANDWIDTH, UPTIMIZATION AND PACKET FILTERINGDEVICES TO SUPPORT 100 MBPS BANDWIDTH AS AGAINST THE PRESENT 25 MBPS.",STATE HOUSE - HQTRS,0111001001," 67,500,000.00 ",111001001,STATE HOUSE
SHIUF77376612,UPGRADING OF ELECTRICAL DISTRIBUTION PANEL AND INSTALLATION OF MULTIPLE AUTO DRIVEMECHANISM FOR STAGE CURTAINS AT STATE HOUSE MULTI-PURPOSE CONFERENCE CENTER,STATE HOUSE - HQTRS,0111001001," 17,146,087.00 ",111001001,STATE HOUSE
SHIUF71730037,"PURCHASE OF TYRES FOR BULLET PROOF VEHICLES, PLAIN TOYOTA CARS, CCU VEHCLES,PLATFORM TRUCKS, LAND CRUISER AND PRADO JEEPS, HILUX, PEUGEOT 607, AMBULANCESAND OTHER UTILITY AND OPERATIONAL VEHICLES",STATE HOUSE - HQTRS,0111001001," 94,575,000.00 ",111001001,STATE HOUSE
